IssueDate,StartDate,EndDate,certificateNumber,fee,NPOName,LocName,LicenseClass,SubClass,Description,AddrStreet,AddrZip
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
01/25/2013,01/26/2013,01/27/2013,61916,$50.00,"The Bong County, Liberia/Maryland, U.S.A Educational Culture Foundation, Inc.",Fundraiser,LS,BWL,"Beer, Wine, & Liquor",4339 YORK ROAD,21212
01/25/2013,01/26/2013,01/27/2013,61915,$50.00,"The Bong County, Liberia/Maryland, U.S.A Educational Culture Foundation, Inc.",Fundraiser,LS,BWL,"Beer, Wine, & Liquor",4339 YORK ROAD,21212
01/25/2013,01/27/2013,01/28/2013,61917,$25.00,Glenn L Martin Aviation Museum Inc,Sporting Event,WS,BW,Beer & Wines,1301 S. Ellwood Ave ,21224
04/05/2013,04/20/2013,04/21/2013,62193,$25.00,ZION CHURCH OF THE CITY OF BALTIMORE,Fundraiser,WS,BW,Beer & Wines,400 E. LEXINGTON ST.,21202
04/09/2013,04/20/2013,04/21/2013,62198,$25.00,M.A.P (Maryland Art Place),Art Openning,WS,BW,Beer & Wines,218 W. SARATOGA STREET,21202
04/09/2013,04/18/2013,04/19/2013,62197,$25.00,M.A.P (Maryland Art Place),Art Openning,WS,BW,Beer & Wines,218 W. SARATOGA STREET,21202
04/09/2013,04/18/2013,04/19/2013,62196,$25.00,M.A.P (Maryland Art Place),Art Openning,WS,BW,Beer & Wines,218 W. SARATOGA STREET,21202
04/09/2013,04/18/2013,04/19/2013,62195,$25.00,M.A.P (Maryland Art Place),Art Openning,WS,BW,Beer & Wines,218 W. SARATOGA STREET,21202
04/09/2013,04/12/2013,04/13/2013,62199,$50.00,BALTIMORE MUSEUM OF INDUSTRY,Food Truck Rally/ Fundraiser,LS,BWL,"Beer, Wine, & Liquor",1415 KEY HIGHWAY,21201
05/02/2013,05/04/2013,05/06/2013,62269,$50.00,"Education Based Latin Outreach, Inc (EBLO)",Festival,WS,BW,Beer & Wines,100 BLK Broadway-per permit #ROW2013-SE1002659,21231
05/02/2013,05/04/2013,05/05/2013,62268,$50.00,The Royal Theater & Community Heritage Corporation,Fundraiser,LS,BWL,"Beer, Wine, & Liquor",2229 Pennsylvania Avenue,21217
05/03/2013,05/13/2013,05/14/2013,62271,$50.00,"Waterfront Partnership of Baltimore, Inc.",Golf Post Tournament Social,LS,BWL,"Beer, Wine, & Liquor",1409 Thames St,21231
05/03/2013,05/04/2013,05/05/2013,62272,$50.00,KURK LEE FOUNDATION,FUNDRAISER,LS,BWL,"Beer, Wine, & Liquor",550 DUNDALK AVENUE,21212
05/07/2013,04/21/2013,04/22/2013,62278,$50.00,Pop Warner Little League (Little Scholars),Neo Soul Concert,LS,BWL,"Beer, Wine, & Liquor",4915 GREENSPRING AVENUE,21215
10/11/2013,10/13/2013,10/14/2013,62656,$50.00,The Give Corps Foundation,Fundraiser,LS,BWL,"Beer, Wine, & Liquor",1400-54 WARNER STREET,21230
